RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        21141     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.799D+01  1.487D+10
    1    2     1   307  ---    0  1.0D+00  2.6D+02  4.799D+01  1.487D+10
    2    3     1   307  con    0  1.0D+00  1.4D+06  5.662D+01  1.473D+10
    3    4     1   289  bnd    0  1.0D+00  4.3D+05  3.713D+01  1.468D+10
    4    5     1   289  bnd    0  1.0D+00  2.0D+05  2.596D+01  1.466D+10
    5    6     1   289  bnd    0  1.0D+00  3.4D+05  2.154D+01  1.464D+10
    6    7     2   288  con    0  1.0D+00  2.4D+05  2.273D+01  1.463D+10
    7    8     1   286  con    0  1.0D+00  2.9D+05  1.812D+01  1.462D+10
    8    9     1   283  bnd    0  1.0D+00  1.8D+05  1.688D+01  1.462D+10
    9   10     1   281  con    0  1.0D+00  1.1D+05  1.259D+01  1.461D+10
   10   11     1   281  con    0  1.0D+00  1.9D+05  1.500D+01  1.461D+10
   11   12     1   280  con    0  1.0D+00  2.3D+05  2.448D+01  1.461D+10
   12   13     1   278  con    0  1.0D+00  1.0D+05  1.123D+01  1.460D+10
   13   14     1   278  con    0  1.0D+00  1.4D+05  1.470D+01  1.460D+10
   14   15     1   277  con    0  1.0D+00  1.6D+05  1.362D+01  1.460D+10
   15   16     1   276  con    0  1.0D+00  2.3D+05  1.065D+01  1.460D+10
   16   17     1   275  bnd    0  1.0D+00  1.4D+05  1.139D+01  1.460D+10
   17   18     1   274  con    0  1.0D+00  1.1D+05  1.018D+01  1.459D+10
   18   19     1   274  con    0  1.0D+00  1.5D+05  1.176D+01  1.459D+10
   19   20     1   274  con    0  1.0D+00  1.2D+05  4.850D+00  1.459D+10
   20   21     1   273  con    0  1.0D+00  9.7D+04  8.303D+00  1.459D+10
   21   22     1   273  con    0  1.0D+00  1.5D+05  1.234D+01  1.459D+10
   22   23     1   271  bnd    0  1.0D+00  7.9D+04  4.527D+00  1.459D+10
   23   24     1   271  con    0  1.0D+00  9.7D+04  7.215D+00  1.459D+10
   24   25     1   271  con    0  1.0D+00  1.2D+05  1.320D+01  1.459D+10
   25   26     1   271  con    0  1.0D+00  1.3D+05  1.433D+01  1.459D+10
   26   27     1   271  con    0  1.0D+00  7.5D+04  5.516D+00  1.459D+10
   27   28     1   270  con    0  1.0D+00  7.7D+04  8.561D+00  1.459D+10
   28   29     1   270  con    0  1.0D+00  9.9D+04  1.095D+01  1.459D+10
   29   30     1   269  con    0  1.0D+00  9.3D+04  9.298D+00  1.458D+10
   30   31     1   268  con    0  1.0D+00  9.8D+04  7.306D+00  1.458D+10
   31   32     1   268  con    0  1.0D+00  5.9D+04  5.444D+00  1.458D+10
   32   33     1   268  con    0  1.0D+00  6.5D+04  3.502D+00  1.458D+10
